@relation 'kazova'
@attribute 'Kum' real
@attribute 'Kil' real
@attribute 'Agregat Stabilitesi' real
@attribute 'OM' real
@attribute 'Kirec' real
@attribute 'KDK' real
@data
29.25,19.50,38.78,1.44,7.18,15.82
15.00,38.75,89.25,1.75,7.33,23.40
13.75,42.50,85.34,1.83,8.01,27.05
35.00,28.75,86.86,0.83,9.90,14.98
20.00,41.25,82.63,1.87,7.64,22.55
10.00,57.50,84.16,1.92,7.18,26.23
32.50,31.25,44.54,1.43,7.41,17.00
27.50,32.50,70.51,1.67,6.96,18.99
25.00,30.00,18.34,1.05,7.26,21.63
35.00,32.50,88.20,1.09,7.41,17.57
32.00,35.00,69.12,1.23,2.57,14.24
20.00,50.00,94.07,2.83,3.70,20.20
8.75,52.50,91.87,2.18,7.94,25.44
6.25,53.75,92.38,2.21,7.56,23.68
26.25,30.00,27.08,1.47,7.56,16.68
8.75,60.00,92.12,2.19,6.88,27.15
11.25,61.25,93.73,2.90,9.53,28.50
20.00,37.50,86.05,2.13,8.54,27.46
17.50,40.00,81.65,1.93,6.43,19.42
30.00,30.00,85.60,2.19,5.90,18.31
10.00,52.50,92.50,2.31,4.91,22.18
31.25,23.00,67.59,1.44,7.64,17.00
41.25,27.50,46.13,1.19,6.80,14.76
23.75,40.00,73.89,1.83,9.22,18.82
13.75,56.25,92.75,2.53,5.60,34.00
12.50,52.50,84.16,2.05,5.98,24.26
25.00,32.50,66.50,2.58,6.72,18.15
13.75,51.25,93.80,2.84,6.35,30.75
21.25,50.00,82.86,3.26,6.50,28.81
30.00,28.75,77.86,0.77,8.37,17.33
25.00,31.25,88.64,1.81,7.17,21.54
7.50,60.00,86.41,2.18,6.58,29.67
28.00,27.50,21.72,1.66,7.77,14.61
27.50,35.00,53.07,2.21,4.11,14.76
30.00,35.00,48.59,1.86,3.81,15.36
22.50,33.00,87.25,2.07,2.17,15.21
28.75,38.75,68.70,1.85,3.89,18.15
27.50,48.75,87.42,2.08,2.76,24.36
15.00,53.75,91.71,1.80,4.18,25.44
17.00,45.00,41.12,1.66,4.63,20.82
11.25,58.75,93.78,2.37,5.60,28.50
35.00,32.50,46.53,1.79,5.90,17.02
32.50,27.50,51.96,1.30,7.40,15.60
22.50,38.75,48.44,1.99,6.13,18.00
15.00,46.25,66.83,1.84,4.26,18.84
17.50,50.00,76.73,1.98,5.38,21.13
23.75,45.00,61.84,1.80,4.11,25.81
22.50,45.00,43.42,1.55,3.66,17.92
17.00,45.00,47.33,1.56,6.50,18.84
26.25,35.00,45.97,1.41,10.09,14.99
15.00,48.50,90.00,1.49,6.28,28.39
10.00,53.00,92.39,2.08,7.02,26.12
13.75,60.00,99.41,4.89,10.09,15.52
13.75,60.00,98.21,5.20,7.17,31.44
27.50,32.50,35.14,1.66,7.62,36.79
27.50,36.25,82.05,1.93,6.43,19.88
40.00,30.00,60.00,3.22,2.84,13.39
27.50,35.25,90.78,1.60,3.06,17.10
51.25,23.75,59.23,2.16,1.79,13.04
53.75,21.25,43.09,1.52,2.24,10.17
25.00,37.50,84.43,2.12,3.36,20.59
41.25,30.00,60.70,2.42,2.25,16.15
47.50,30.00,63.86,1.86,1.87,15.45
37.50,27.50,67.73,2.43,3.52,13.74
36.25,30.00,27.47,1.14,4.20,16.38
51.25,27.50,62.28,2.54,2.25,12.90
17.50,47.50,86.00,3.27,2.40,21.49
36.25,37.50,56.55,2.49,4.05,18.09
17.50,40.00,71.12,1.95,6.52,21.95
27.50,31.25,50.00,1.99,6.82,21.49
32.50,30.00,53.57,1.83,7.50,21.49
25.00,33.75,80.98,2.25,8.54,20.77
25.00,42.50,28.72,1.89,7.65,22.23
23.00,43.75,59.01,1.86,4.80,17.92
15.00,50.50,94.87,2.46,9.07,25.71
15.00,38.75,18.37,2.08,8.62,24.33
27.50,32.50,76.21,2.29,8.02,21.67
23.75,28.00,29.70,1.98,7.35,19.10
18.75,42.50,71.61,1.30,7.57,23.26
29.50,28.75,69.71,1.85,7.50,21.58
32.50,20.00,38.65,2.16,7.12,16.38
13.00,45.00,56.64,2.29,7.80,28.50
20.50,30.00,74.75,1.12,8.02,18.84
33.75,23.75,30.17,1.05,7.57,17.43
6.25,57.50,83.30,1.56,7.50,35.00
36.25,25.00,63.81,0.59,9.07,15.52
22.50,40.25,53.72,1.60,7.46,22.89
32.50,30.50,78.57,0.93,7.39,16.07
23.75,35.00,37.78,1.11,9.33,20.06
38.00,20.00,9.94,1.01,7.54,14.84
36.25,27.50,27.63,0.97,7.09,16.54
35.45,36.60,69.63,0.91,8.21,18.25
26.25,40.00,63.93,1.29,8.28,18.67
8.75,57.50,89.38,2.59,6.12,37.89
23.75,43.00,35.61,1.36,7.76,21.58
35.00,30.00,29.43,1.05,7.09,15.37
13.75,46.25,96.76,3.67,11.20,25.21
16.25,40.00,98.74,3.08,8.21,23.17
25.00,35.00,51.97,1.67,8.51,19.27
30.00,32.75,72.32,1.44,7.84,17.10
17.50,45.75,34.07,1.82,5.22,18.67
19.50,43.50,50.70,1.72,3.06,13.31
37.50,35.00,52.16,1.32,2.91,10.73
51.25,26.25,60.74,1.90,5.00,10.15
42.50,30.00,44.74,1.25,3.81,18.50
25.00,40.00,37.95,1.88,5.75,13.24
37.50,30.50,54.15,1.42,6.87,12.97
52.50,25.75,79.90,1.60,6.12,9.56
32.50,43.75,80.00,2.13,14.93,19.55
48.75,28.75,40.98,1.70,6.94,8.84
39.25,29.25,54.48,1.39,5.00,10.60
40.50,29.50,42.09,4.47,7.24,15.00
10.00,50.00,50.51,1.92,7.99,28.89
13.75,52.50,76.80,1.79,9.33,21.70
36.25,25.00,36.61,1.17,7.69,15.07
15.00,50.00,68.46,1.84,12.76,27.27
33.00,34.50,31.58,1.56,8.36,13.17
45.00,30.50,47.08,2.24,5.08,10.47
27.50,37.50,74.21,2.20,19.48,13.93
32.50,33.00,27.61,3.11,26.27,12.90
21.25,37.50,43.98,1.56,11.27,17.67
11.25,42.50,52.08,2.06,7.46,26.57
25.00,23.75,63.96,0.96,7.69,15.59
35.00,20.50,47.15,0.75,7.69,14.71
21.25,31.00,26.28,1.38,7.91,21.44
35.00,26.25,31.08,0.95,7.31,18.39
22.50,31.25,39.60,4.76,7.99,20.57
33.75,30.50,91.77,1.60,9.25,24.45
35.00,35.00,62.63,1.48,2.91,19.97
31.25,38.75,65.67,4.16,2.84,21.26
22.50,43.00,76.21,1.44,4.93,25.12
37.50,35.00,64.57,1.38,5.00,21.00
46.25,27.50,33.60,1.47,2.69,13.31
40.00,33.75,38.54,1.50,4.45,18.96
15.00,47.00,90.58,1.97,4.83,35.31
6.25,57.50,92.88,1.91,7.42,31.96
23.75,38.75,62.75,1.31,6.90,23.70
13.75,48.75,88.00,1.03,8.61,24.36
35.00,28.25,73.57,1.74,7.65,24.07
22.00,40.00,83.51,1.75,7.42,19.88
21.25,37.50,69.75,1.50,7.20,25.69
20.00,33.75,72.60,1.62,7.42,25.21
36.25,25.00,58.04,1.35,6.76,20.83
28.75,25.00,70.52,1.53,7.50,20.14
13.75,46.25,86.41,2.30,10.10,29.62
27.50,36.25,96.32,2.30,10.39,26.48
17.50,43.50,51.72,2.65,9.80,34.62
42.50,28.00,59.64,2.38,8.61,14.28
50.00,20.00,62.08,1.16,8.31,10.67
15.00,38.25,51.25,1.53,6.98,25.79
37.50,35.00,41.16,1.85,6.38,23.79
33.75,27.50,38.80,1.30,12.92,17.67
20.00,35.00,69.53,1.04,8.31,24.17
12.00,56.25,91.73,3.30,9.95,38.58
41.88,23.13,56.59,0.89,9.65,18.47
8.75,62.50,94.52,2.93,16.41,38.58
24.50,47.50,98.36,5.87,15.00,44.16
12.00,52.50,88.89,2.69,15.44,29.20
27.50,37.50,44.41,1.48,12.62,21.53
23.75,43.00,97.12,5.65,24.88,34.74
20.00,50.50,96.95,2.16,23.18,32.84
27.50,45.00,94.86,1.75,26.58,25.19
27.50,38.00,59.62,2.50,10.34,20.67
38.75,27.50,55.24,2.20,14.91,14.48
32.50,35.00,53.54,1.47,11.37,17.64
34.38,30.00,39.94,1.71,15.50,16.53
40.00,26.25,70.63,1.94,15.80,16.22
31.25,32.50,76.84,2.13,11.81,16.53
35.00,32.50,36.73,1.36,11.59,15.98
30.00,41.25,85.50,2.48,28.05,20.94
23.75,52.50,94.32,2.23,20.67,27.76
22.00,32.50,63.18,1.72,8.93,22.74
25.50,35.00,65.16,1.78,9.23,21.20
35.00,25.00,37.22,1.11,9.38,17.48
37.50,27.50,68.51,1.05,10.78,16.76
35.00,34.50,76.07,1.62,11.59,17.56
28.25,47.50,85.98,1.84,14.17,26.56
23.75,44.50,83.11,1.86,9.52,24.32
41.25,26.25,69.72,2.72,14.03,13.76
12.50,52.50,97.24,2.10,7.53,26.06
15.00,52.50,84.43,2.62,8.79,24.90
20.00,47.50,94.07,1.25,9.97,22.01
42.50,18.00,43.39,1.77,7.53,15.75
26.25,32.50,72.66,2.73,8.12,22.19
38.75,30.00,76.80,2.64,11.07,18.46
30.00,37.50,90.00,1.83,3.69,16.14
43.75,28.75,87.17,2.07,2.81,14.26
40.63,30.25,62.23,2.31,4.43,16.68
35.00,36.25,82.44,2.09,2.88,16.61
27.00,35.00,91.43,1.52,2.58,15.22
31.25,38.75,83.43,1.79,3.84,20.07
22.50,54.25,78.38,1.51,2.36,31.10
26.75,45.75,85.60,1.70,3.40,22.10
25.00,38.00,58.52,1.70,8.49,28.07
41.25,25.00,87.47,1.30,6.79,16.76
36.25,30.00,88.66,1.38,7.68,19.21
42.00,27.50,73.19,1.87,8.12,17.24
16.25,50.00,78.20,1.80,4.43,24.99
20.50,47.50,86.26,1.88,4.72,22.83
28.75,35.50,57.33,1.88,4.43,18.63
51.25,23.00,85.11,1.52,2.21,12.03
42.50,24.38,45.03,2.25,3.62,12.91
35.00,38.75,69.72,2.24,6.87,20.07
65.00,17.00,69.61,2.35,3.32,12.70
34.50,40.50,77.17,2.20,5.49,26.56
43.00,26.25,59.44,2.21,5.20,14.12
47.50,27.00,83.45,2.58,4.60,14.92
17.50,57.50,96.66,2.37,13.14,29.20
18.75,57.50,93.17,2.25,17.82,32.84
18.00,57.50,98.00,2.52,16.70,28.37
35.00,41.50,83.43,1.37,13.73,20.94
22.50,43.75,32.56,1.88,6.68,22.74
22.00,51.25,97.38,2.54,18.19,31.32
12.50,58.00,97.65,2.27,15.44,31.75
24.50,46.50,85.76,2.12,18.93,25.09
17.50,50.25,60.16,1.90,4.75,20.85
36.25,31.50,16.67,1.49,3.04,14.33
32.50,33.75,85.86,2.33,6.01,21.20
42.50,27.00,60.38,1.39,3.34,13.68
27.50,30.00,71.54,2.03,5.94,18.88
40.00,20.00,56.42,1.16,2.97,10.79
